job_aptitude_exam,same_industry,unexcused_absences,hs_gpa,good_behavior,high_school,enrolled_late,instructor,sensitive_01,sensitive_02,sensitive_03,sensitive_04,sensitive_05,sensitive_06,sensitive_07,sensitive_08,sensitive_09,sensitive_10,sensitive_11,sensitive_12,sensitive_13,sensitive_14,sensitive_15,sensitive_17,sensitive_18,sensitive_19,sensitive_20,sensitive_22,sensitive_23,sensitive_24,sensitive_25
94.0,0,2,2.714,1.0,290,0,,0.3,-0.22,1.1,-1.75,1,0,-0.62,0.87,-0.86,1.0,0.1,1.06,-0.21,-1.56994,1,1,0,1.78,0,0,-0.08,1,-0.81
107.0,0,3,2.872,0.0,393,0,inst_2,-0.91,-1.29,0.5,1.26,1,1,0.84,0.13,-0.53,,0.41,-0.8,-1.74,-5.99728,1,0,1,1.33,1,1,0.48,0,1.23
96.0,0,1,2.255,0.0,999,0,inst_9,0.25,1.35,-0.86,0.77,1,1,1.32,0.53,0.64,,-0.9,0.64,0.14,-0.6842999999999999,1,0,1,0.82,1,0,0.33,1,0.44
103.0,0,0,3.495,0.0,180,0,inst_2,1.59,2.18,-1.81,1.81,0,1,-1.06,0.1,1.15,0.0,-0.49,-0.83,1.21,3.22895,1,0,1,-0.56,0,1,0.64,0,0.95
92.0,0,0,2.922,0.0,2,0,inst_3,-0.95,-1.0,0.11,0.14,1,0,-0.68,-0.24,-0.4,0.0,0.51,0.14,-2.73,-8.977060000000002,0,1,0,0.51,0,1,0.43,0,-1.27
105.0,0,2,3.515,0.0,86,0,inst_5,1.42,-0.01,1.12,-0.93,0,1,-0.72,-0.16,-0.88,,-0.01,-1.46,-0.43,-2.51145,0,0,0,-0.57,0,0,-0.02,1,1.48
80.0,0,3,2.4090000000000003,1.0,164,0,inst_2,-0.59,2.26,1.41,-0.03,0,1,0.93,-0.83,-1.16,1.0,1.25,-0.7,0.38,-0.0845800000000001,1,0,0,1.31,0,1,-0.9,0,-1.45
116.0,0,0,3.071,,257,0,inst_7,-1.08,0.17,0.59,-0.0,0,0,0.42,1.0,0.9,,-0.15,-1.74,0.32,-0.017279999999999962,1,0,1,-0.46,1,0,-0.46,0,-0.97
97.0,0,0,3.284,0.0,175,0,inst_5,-0.84,0.68,0.03,-1.37,0,0,2.34,2.03,-0.62,1.0,0.44,0.65,0.89,1.9227599999999998,1,0,1,0.2,1,1,-1.09,1,-0.95
106.0,0,2,2.8760000000000003,0.0,53,0,inst_9,0.93,-2.05,0.72,-0.22,1,0,-0.48,-1.26,0.95,,-1.54,-0.29,0.17,-0.51108,0,0,1,1.64,1,0,1.29,0,0.3
