job_aptitude_exam,same_industry,unexcused_absences,hs_gpa,job_offered,good_behavior,high_school,enrolled_late,instructor,sensitive_01,sensitive_02,sensitive_03,sensitive_04,sensitive_05,sensitive_06,sensitive_07,sensitive_08,sensitive_09,sensitive_10,sensitive_11,sensitive_12,sensitive_13,sensitive_14,sensitive_15,sensitive_17,sensitive_18,sensitive_19,sensitive_20,sensitive_22,sensitive_23,sensitive_24,sensitive_25
96.0,0,1,2.255,1,0.0,0,0,inst_9,0.25,1.35,-0.86,0.77,1,1,1.32,0.53,0.64,,-0.9,0.64,0.14,-0.6842999999999999,1,0,1,0.82,1,0,0.33,1,0.44
88.0,0,2,2.772,1,1.0,1,0,inst_5,0.36,1.94,-0.86,0.77,0,1,-0.31,0.03,0.95,,-1.18,0.67,-1.06,-3.9383199999999996,1,0,0,0.91,0,0,-0.35,0,0.83
90.0,0,0,3.74,1,0.0,2,0,inst_6,0.77,-1.86,0.03,1.1,0,0,0.34,1.35,1.92,,1.11,-0.3,-0.09,-1.3366,1,1,1,-0.88,1,0,-1.18,1,-0.82
122.0,0,2,3.2060000000000004,1,0.0,3,0,inst_5,0.39,0.29,-0.11,0.26,0,1,-0.7,-0.65,0.51,,0.14,-2.44,0.21,-0.32674000000000003,0,1,1,-0.98,1,0,-0.74,0,-0.63
82.0,0,1,2.8369999999999997,1,1.0,4,0,inst_2,0.85,1.78,0.53,-0.46,1,1,-0.38,-0.26,-1.07,,-0.66,1.85,0.67,0.9007900000000002,1,0,0,-0.41,0,1,-0.56,1,1.63
111.0,0,3,3.5039999999999996,1,0.0,5,0,inst_4,1.24,-1.48,1.82,1.27,1,1,-0.0,0.8,0.2,,-0.48,0.98,0.42,0.4716799999999999,0,0,0,-0.14,1,0,0.76,1,0.26
99.0,0,1,3.0589999999999997,1,0.0,6,0,inst_3,-1.15,0.47,1.2,-0.78,1,0,-0.59,0.0,0.12,,0.03,-1.2,1.25,2.8237500000000004,1,0,0,-1.18,1,0,-1.78,1,-2.47
91.0,0,4,3.1460000000000004,1,1.0,7,0,inst_7,0.15,-0.7,-0.83,-0.36,1,1,-0.56,0.69,0.36,,-0.79,1.28,-0.04,-1.12584,1,1,1,-0.58,1,0,0.96,0,-1.27
111.0,0,2,3.199,1,0.0,8,0,inst_6,0.01,0.34,1.47,1.19,0,1,-0.03,1.19,-0.61,,-2.71,0.45,0.28,-0.10427999999999993,0,1,1,-0.52,1,1,0.36,0,-0.37
75.0,0,2,3.285,1,0.0,9,0,inst_1,0.36,-1.07,0.98,-0.21,0,0,-0.8,-0.2,1.02,,-1.0,1.19,-0.0,-1.0,1,1,1,1.25,0,0,-0.08,1,-0.59
99.0,0,0,2.96,1,0.0,1,0,inst_7,-0.3,-1.39,0.43,-0.17,0,1,-0.22,0.49,-0.75,,-1.19,1.16,-1.14,-4.3744,1,0,1,-2.05,1,1,-0.74,0,-0.34
83.0,0,1,2.377,1,,10,0,inst_4,1.51,-1.86,-0.37,-0.28,0,0,-0.08,-1.4,0.54,,-1.83,0.83,0.35,-0.16805000000000014,1,0,1,0.98,0,0,0.42,0,-0.99
107.0,0,2,3.5839999999999996,1,1.0,11,0,inst_6,2.24,0.41,1.51,0.62,1,0,0.93,-1.89,-0.31,,-0.66,0.91,-0.33,-2.18272,0,0,1,0.25,0,1,0.84,0,0.39
108.0,0,0,2.529,1,0.0,12,0,inst_1,0.24,-1.17,0.13,1.02,0,1,0.77,-0.47,1.7,0.0,0.12,-1.17,-2.06,-6.20974,0,0,1,-1.27,1,0,2.39,0,-0.22
103.0,0,1,3.08,1,0.0,13,0,inst_5,-0.23,0.2,-0.04,-0.12,1,0,-0.16,2.04,-1.22,,-0.35,1.73,-0.62,-2.9096,0,0,0,-0.79,1,1,-0.15,0,-1.44
117.0,0,0,,1,0.0,14,0,inst_8,1.62,2.47,0.67,-0.84,1,0,0.28,-2.31,-0.05,0.0,-1.09,-0.36,-1.34,-4.95568,1,0,0,-0.94,1,1,-0.02,0,-1.49
107.0,0,0,3.635,1,0.0,15,0,inst_4,-1.87,1.55,0.06,-0.52,1,1,1.66,-0.34,-0.96,0.0,-0.65,-0.95,-1.43,-6.1980499999999985,1,1,0,-0.48,1,1,-0.91,0,-0.71
102.0,0,1,3.1319999999999997,1,0.0,16,0,,-1.14,-0.65,2.79,0.05,1,0,-0.16,1.16,0.54,,1.2,0.22,0.07,-0.78076,0,1,0,0.27,0,1,0.54,1,-0.3
99.0,0,0,2.101,1,1.0,17,0,inst_5,1.06,-0.3,-1.23,0.18,1,0,1.56,-1.84,1.52,0.0,-1.46,-0.94,-0.25,-1.52525,1,1,1,0.56,1,1,0.05,1,-0.7
96.0,0,2,3.6189999999999998,1,1.0,18,0,inst_9,2.37,0.35,-0.79,-1.76,1,1,-0.41,-0.78,0.29,1.0,0.8,-0.93,1.43,4.1751700000000005,0,1,1,0.25,0,1,1.11,0,-0.56
96.0,0,0,3.8289999999999997,1,,19,0,inst_3,-1.94,-0.4,2.4,0.49,0,1,0.15,-0.47,0.16,,-0.26,2.47,-1.32,-6.05428,0,0,0,-0.79,0,0,0.24,1,0.66
97.0,0,0,3.783,0,1.0,20,0,inst_8,1.08,0.6,1.33,0.14,1,0,-0.94,0.72,-0.62,,0.54,0.72,0.41,0.5510299999999999,1,0,0,0.53,1,0,-0.22,0,-0.38
100.0,0,1,3.0589999999999997,1,0.0,21,1,inst_2,-0.09,1.12,-1.3,-0.24,0,0,-0.97,0.7,0.08,1.0,0.49,-0.23,0.34,0.040060000000000213,0,1,1,-0.89,1,1,-1.82,1,1.87
102.0,0,2,0.9059999999999999,1,0.0,22,0,,0.57,0.17,-1.41,0.17,1,1,0.45,1.21,0.35,,1.03,1.65,-0.73,-1.66138,1,0,0,0.97,0,1,-0.18,1,-2.07
87.0,0,3,2.448,1,0.0,23,0,inst_6,1.92,0.54,0.09,-0.81,1,0,-0.88,-0.23,0.7,1.0,-0.03,1.84,0.53,0.2974400000000001,1,0,0,0.4,1,0,-0.13,0,-0.02
101.0,1,2,1.8940000000000001,1,,24,0,inst_7,1.03,-0.61,1.4,0.95,1,0,1.1,-0.54,1.41,1.0,0.17,-0.32,0.45,-0.14770000000000005,1,0,0,-0.39,1,1,1.59,1,0.25
102.0,0,0,3.1510000000000002,1,0.0,25,0,inst_4,0.6,-0.88,-0.32,-0.57,1,1,-0.09,0.51,-0.79,1.0,0.78,-1.21,1.56,3.9155599999999997,1,1,0,-1.28,0,1,-0.99,1,0.26
108.0,0,2,2.19,1,0.0,26,0,inst_7,-1.88,-0.41,0.76,1.9,1,0,-0.58,0.19,-1.27,0.0,0.89,0.31,-0.64,-2.4016,0,0,0,1.89,1,1,1.06,0,1.24
85.0,0,0,3.3280000000000003,0,0.0,27,0,inst_5,-0.51,-0.94,1.03,-0.95,0,0,-0.91,-0.34,-1.07,1.0,-0.78,0.91,-0.89,-3.9619199999999997,1,0,0,-0.4,1,1,0.07,1,0.47
93.0,0,1,2.843,1,0.0,28,0,inst_12,1.78,-0.25,-0.83,0.41,1,0,-0.14,2.21,-0.66,1.0,-0.48,-0.01,0.75,1.13225,1,0,0,-0.95,1,1,-0.56,1,-0.35
116.0,0,2,3.327,1,1.0,29,0,inst_4,-2.42,1.21,-2.54,2.59,1,1,0.73,-1.58,-0.47,0.0,0.4,0.66,1.27,3.22529,0,0,1,0.92,1,0,-0.19,0,-0.41
84.0,0,4,3.4419999999999997,1,0.0,30,0,inst_5,0.94,0.69,-0.73,-0.92,1,1,1.19,-1.58,1.64,,0.17,-2.05,0.22,-0.24276,1,0,0,0.81,0,0,0.83,0,-1.34
108.0,0,2,3.133,1,0.0,31,0,inst_6,1.02,-0.45,-0.08,-0.61,1,0,0.89,-1.6,-1.41,,-1.1,-1.13,0.58,0.81714,0,0,1,0.04,1,1,1.15,0,-1.33
86.0,0,4,3.4130000000000003,1,0.0,32,0,inst_7,0.48,0.41,-0.83,-1.81,1,0,-1.49,0.42,-0.82,,0.91,0.9,-0.54,-2.84302,1,0,0,0.14,0,1,1.24,1,0.5
68.0,0,0,2.278,0,0.0,33,0,inst_6,-0.7,2.31,-1.57,1.35,1,0,0.64,-1.13,1.26,0.0,1.09,-1.14,0.12,-0.72664,1,0,1,-0.02,1,0,-0.83,0,0.17
123.0,0,2,3.0989999999999998,1,0.0,34,0,,-1.05,-0.67,0.75,-0.82,0,0,0.66,-1.22,-0.79,1.0,0.23,-1.4,0.1,-0.6900999999999999,0,1,0,0.15,1,1,0.2,1,0.62
